"congressman_id","name","nickname","email","party_id","party_code","party_name"
"21","Sérgio Luiz Costa Azevedo Filho","Dr. Serginho","drserginho@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"23","Enfermeira Rejane","Enfermeira Rejane","enfermeirarejane@alerj.rj.gov.br","28","PCdoB","Partido Comunista do Brasil"
"78","Eurico Junior","Eurico Junior","euricojunior@alerj.rj.gov.br","104","PSC","Partido Social Cristão"
"24","Fábio Silva","Fábio Silva","fabiosilva@alerj.rj.gov.br","10","DEM","Democratas"
"25","Filipe Soares","Filipe Soares","filipesoares@alerj.rj.gov.br","10","DEM","Democratas"
"26","Filippe Medeiros Poubel","Filippe Poubel","filippepoubel@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"28","Franciane Motta","Franciane Motta","francianemotta@alerj.rj.gov.br","15","MDB","Movimento Democrático Brasileiro"
"29","Gil Vianna","Gil Vianna","gilvianna@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"30","Giovani Leite De Abreu","Giovani Ratinho","giovaniratinho@alerj.rj.gov.br","119","PTC","Partido Trabalhista Cristão"
"31","Gustavo Antunes Modesto Schmidt","Gustavo Schmidt","gustavoschmidt@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"32","Gustavo Tutuca","Gustavo Tutuca","gustavotutuca@alerj.rj.gov.br","15","MDB","Movimento Democrático Brasileiro"
"33","Jair Bittencourt","Jair Bittencourt","jairbittencourt@alerj.rj.gov.br","70","PP","Progressistas"
"34","João Peixoto","João Peixoto","joaopeixoto@alerj.rj.gov.br","9","DC","Democracia Cristã"
"35","Jorge Felippe Neto","Jorge Felippe Neto","jorgefelippeneto@alerj.rj.gov.br","106","PSD","Partido Social Democrático"
"36","Leo Vieira","Leo Vieira","leovieira@alerj.rj.gov.br","101","PRTB","Partido Renovador Trabalhista Brasileiro"
"37","Lucinha","Lucinha","lucinha@alerj.rj.gov.br","107","PSDB","Partido da Social Democracia Brasileira"
"74","Luiz Martins","Luiz Martins","luizmartins@alerj.rj.gov.br","36","PDT","Partido Democrático Trabalhista"
"39","Marcelo Borges Da Silva","Marcelo Cabeleireiro","marcelocabeleireiro@alerj.rj.gov.br","9","DC","Democracia Cristã"
"40","Marcelo Ferreira Ribeiro","Marcelo do seu Dino","marcelodoseudino@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"41","Márcio Canella","Márcio Canella","marciocanella@alerj.rj.gov.br","15","MDB","Movimento Democrático Brasileiro"
"42","Márcio Gualberto Dos Santos","Márcio Gualberto","marciogualberto@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"43","Márcio Pacheco","Márcio Pacheco","marciopacheco@alerj.rj.gov.br","104","PSC","Partido Social Cristão"
"75","Marcos Abrahão","Marcos Abrahão","marcosabrahao@alerj.rj.gov.br","6","AVANTE","Avante"
"44","Marcos Muller","Marcos Muller","marcosmuller@alerj.rj.gov.br","44","PHS","Partido Humanista da Solidariedade"
"76","Marcus Vinicius","Marcus Vinicius","marcusvinicius@alerj.rj.gov.br","118","PTB","Partido Trabalhista Brasileiro"
"45","Marina Rocha","Marina Rocha","marinarocha@alerj.rj.gov.br","52","PMB","Partido da Mulher Brasileira"
"47","Max Rodrigues Lemos","Max Lemos","maxlemos@alerj.rj.gov.br","15","MDB","Movimento Democrático Brasileiro"
"48","Mônica Santos Francisco","Mônica Francisco","monicafrancisco@alerj.rj.gov.br","112","PSOL","Partido Socialismo e Liberdade"
"77","Pedro Ricardo","Pedro Ricardo","pedroricardo@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"49","Renan Ferreirinha Carneiro","Renan Ferreirinha","renanferreirinha@alerj.rj.gov.br","103","PSB","Partido Socialista Brasileiro"
"50","Renata Da Silva Souza","Renata Souza","renatasouza@alerj.rj.gov.br","112","PSOL","Partido Socialismo e Liberdade"
"51","Renato Cozzolino","Renato Cozzolino","renatocozzolino@alerj.rj.gov.br","95","PRP","Partido Republicano Progressista"
"52","Renato Costa De Oliveira","Renato Zaca","renatozaca@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"53","Rodrigo Amorim","Rodrigo Amorim","rodrigoamorim@alerj.rj.gov.br","110","PSL","Partido Social Liberal"
"55","Rosane Felix Do Nascimento Malta","Rosane Felix","rosanefelix@alerj.rj.gov.br","106","PSD","Partido Social Democrático"
"56","Rosenverg Reis","Rosenverg Reis","rosenvergreis@alerj.rj.gov.br","15","MDB","Movimento Democrático Brasileiro"
"57","Samuel Malafaia","Samuel Malafaia","samuelmalafaia@alerj.rj.gov.br","10","DEM","Democratas"
"58","Sergio Fernandes","Sergio Fernandes","sergiofernandes@alerj.rj.gov.br","36","PDT","Partido Democrático Trabalhista"
"59","Sergio Louback","Sergio Louback","sergiolouback@alerj.rj.gov.br","104","PSC","Partido Social Cristão"
"60","Mauro Bernardo Dos Santos","Sub Tenente Bernardo","subtenentebernardo@alerj.rj.gov.br","94","PROS","Partido Republicano da Ordem Social"
"61","Thiago Pampolha","Thiago Pampolha","thiagopampolha@alerj.rj.gov.br","36","PDT","Partido Democrático Trabalhista"
"62","Tia Ju","Tia Ju","tiaju@alerj.rj.gov.br","84","REP","Republicanos"
"63","Roosevelt Barreto Barcelos","Val Ceasa","valceasa@alerj.rj.gov.br","22","PATRI","Patriota"
"64","Valdecy da Saúde","Valdecy da Saúde","valdecydasaude@alerj.rj.gov.br","44","PHS","Partido Humanista da Solidariedade"
"65","Vandro Lopes Gonçalves","Vandro Familia","vandrofamilia@alerj.rj.gov.br","129","SDD","Solidariedade"
"67","Welberth Porto De Rezende","Welberth Rezende","welberthrezende@alerj.rj.gov.br","79","PPS","Partido Popular Socialista"
