"congressman_id","congressman_entry_id","budget_id","date","value","object","to","cost_center_id","cost_center_name","cost_center_code","parent_code"
"43","13611","1274","2020-09-30 15:10:22","-294.42","Abastecimento_07","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13619","1274","2020-09-01 15:38:44","-8500.00","Locação Carro 01","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","13604","1274","2020-09-02 14:57:22","-218.06","Abastecimento_01","Posto Iate Com. e Serv. Ltda","23","Combustíveis e lubrificantes","VII",""
"43","13605","1274","2020-09-09 15:01:05","-248.12","Abastecimento_02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13621","1274","2020-09-09 15:41:02","-2150.00","Locação Carro 02","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","13606","1274","2020-09-11 15:03:43","-128.09","Abastecimento_03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13614","1274","2020-09-01 15:15:13","-10.00","Tarifa Cartão Itaú","ITAU UNIBANCO S.A.","28","Tarifas bancárias da conta corrente","XI",""
"43","13607","1274","2020-09-15 15:05:16","-192.64","Abastecimento_04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13608","1274","2020-09-21 15:07:17","-194.02","Abastecimento_05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13609","1274","2020-09-25 15:08:55","-214.82","Abastecimento_06","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13629","1274","2020-09-30 15:58:37","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","14309","1274","2020-09-01 00:35:10","-650.00","Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","14307","1274","2020-09-09 23:16:33","-2229.94","Passagem Aérea","GOL Linhas Aéreas S.A.","4","Passagens aéreas e terrestres","I",""
"43","14308","1274","2020-09-01 00:33:07","-650.00","Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","14325","1274","2020-09-10 13:37:53","-733.92","Utilização de Diária","Márcio Henrique Cruz Pacheco","27","Diárias para Parlamentar e seus assessores","X",""
"43","13322","1204","2020-08-01 22:48:21","-650.00","Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","13325","1204","2020-08-11 22:55:47","-232.35","Abastecimento 03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13326","1204","2020-08-17 22:57:42","-179.86","Abastecimento 04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13320","1204","2020-08-05 22:42:20","-245.75","Papelaria","ATACADAO PAPELEX LTDA","13","Material de expediente e suprimentos de informática","IV.b","IV"
"43","13323","1204","2020-08-04 22:52:35","-182.36","Abastecimento 01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13327","1204","2020-08-21 22:59:30","-220.61","Abastecimento 05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13328","1204","2020-08-26 23:00:51","-201.00","Abastecimento 06","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13324","1204","2020-08-07 22:54:14","-140.32","Abastecimento 02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","13321","1204","2020-08-01 22:46:10","-650.00","Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","13317","1204","2020-08-03 22:12:23","-8500.00","Locação Carro 01","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","13319","1204","2020-08-31 22:21:49","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","13316","1204","2020-08-03 22:09:17","-10.00","Tarifa Cartão Itaú","ITAU UNIBANCO S.A.","28","Tarifas bancárias da conta corrente","XI",""
"43","13318","1204","2020-08-03 22:18:54","-2150.00","Locação Carro 02","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","11588","1060","2020-06-01 16:34:53","-10.00","Tarifa Cartão Itaú","ITAU UNIBANCO S.A.","28","Tarifas bancárias da conta corrente","XI",""
"43","11577","1060","2020-06-08 15:52:15","-241.18","Abastecimento 02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","11596","1060","2020-06-01 16:39:13","-650.00","Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","11579","1060","2020-06-15 15:55:22","-263.17","Abastecimento 04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","11594","1060","2020-06-01 19:13:46","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","11578","1060","2020-06-10 15:53:33","-135.70","Abastecimento 03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","11580","1060","2020-06-19 15:57:08","-236.82","Abastecimento 05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","11582","1060","2020-06-24 15:59:40","-277.33","Abastecimento 06","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","11583","1060","2020-06-29 16:02:39","-238.97","Abastecimento 07","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","11591","1060","2020-06-30 18:48:18","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","11573","1060","2020-06-01 15:47:38","-220.31","Abastecimento 01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","11595","1060","2020-06-01 16:39:27","-650.00","Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","11719","1060","2020-06-30 20:32:00","-72141.60","Devolução de Saldo Acumulado 1º semestre 2020","Assembleia Legislativa do Estado do Rio de Janeiro","26","Devolução de saldo","4",""
"43","10396","989","2020-05-23 16:33:06","-240.00","Abastecimento 03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","10390","989","2020-05-04 16:05:59","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","10421","989","2020-05-01 16:38:13","-650.00","Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","10422","989","2020-05-01 16:37:55","-650.00","Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","10393","989","2020-05-31 16:12:51","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","10394","989","2020-05-04 16:29:02","-165.98","Abastecimento 01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","10395","989","2020-05-15 16:31:24","-249.31","Abastecimento 02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","10637","989","2020-05-04 16:27:07","-10.00","Tarifa Itaú","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","10018","918","2020-04-01 16:36:43","-650.00","Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","10021","918","2020-04-01 04:19:13","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","10019","918","2020-04-09 04:12:55","-276.31","Abastecimento_01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","10020","918","2020-04-16 04:16:28","-169.42","Abastecimento_02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","10017","918","2020-04-01 16:36:25","-650.00","Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","10022","918","2020-04-30 04:22:26","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","10023","918","2020-04-01 04:25:48","-10.00","Tarifa Cartão","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","9207","846","2020-03-01 16:35:44","-650.00","Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","9212","846","2020-03-18 05:48:10","-292.03","Abastecimento 04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","9206","846","2020-03-01 16:35:31","-650.00","Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","9213","846","2020-03-30 05:51:01","-309.60","Abastecimento 05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","9205","846","2020-03-03 05:27:18","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","9211","846","2020-03-10 05:46:19","-220.85","Abastecimento 03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","9208","846","2020-03-31 05:37:58","-6000.00","Assessoria de Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","9214","846","2020-03-02 06:08:17","-10.00","Tarifa Cartão","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","9210","846","2020-03-05 05:44:38","-252.83","Abastecimento 02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7741","775","2020-02-03 21:01:58","-10.00","Tarifa Cartão","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","7744","775","2020-02-01 16:35:00","-650.00","Menezes Cortes_2","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","7740","775","2020-02-29 20:54:45","-6000.00","Assessoria Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","7745","775","2020-02-03 22:20:28","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","7988","775","2020-02-05 21:23:22","-295.68","Abastecimento_01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7989","775","2020-02-11 21:25:38","-251.17","Abastecimento_02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7990","775","2020-02-18 21:28:02","-257.90","Abastecimento_03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7743","775","2020-02-01 16:34:49","-650.00","Menezes Cortes_1","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","7714","705","2020-01-08 05:41:39","-248.58","Abastecimento_01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7715","705","2020-01-16 05:46:27","-276.34","Abastecimento_02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7716","705","2020-01-22 06:04:32","-285.09","Abastecimento_03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7720","705","2020-01-31 06:59:18","-6000.00","Assessoria Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","7718","705","2020-01-30 06:10:13","-237.70","Abastecimento_05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7719","705","2020-01-02 06:31:19","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","7721","705","2020-01-02 07:09:42","-10.00","Tarifa Cartão","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","7717","705","2020-01-27 06:06:39","-276.01","Abastecimento_04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","7737","705","2020-01-01 16:33:38","-650.00","Menezes Cortes_2","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","7735","705","2020-01-01 16:33:56","-650.00","Menezes Cortes_1","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","6133","635","2019-12-01 16:33:02","-650.00","Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","6130","635","2019-12-01 16:32:51","-650.00","Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","6122","635","2019-12-02 14:52:29","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","6117","635","2019-12-03 16:32:19","-260.02","Abastecimento_01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","6118","635","2019-12-12 16:34:16","-289.59","Abastecimento_02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","6119","635","2019-12-17 16:36:46","-291.97","Abastecimento_03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","6123","635","2019-12-31 17:49:54","-6000.00","Assessoria Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","6120","635","2019-12-19 16:38:28","-157.05","Abastecimento_04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","6121","635","2019-12-23 16:39:51","-257.96","Abastecimento_05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","6684","635","2019-12-02 15:04:27","-10.00","Tarifa Cartão","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","6866","635","2019-12-19 20:32:02","-81450.63","Saldo Acumulado 2º Semestre/Ajuste Exercício 2019","Assembleia Legislativa do Estado do Rio de Janeiro","26","Devolução de saldo","4",""
"43","4398","565","2019-11-18 16:22:10","-260.15","Abastecimento_3","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4397","565","2019-11-13 16:21:22","-271.85","Abastecimento_2","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4400","565","2019-11-25 16:23:07","-267.85","Abastecimento_4","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4395","565","2019-11-05 16:20:16","-248.62","Abastecimento_1","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4402","565","2019-11-29 16:23:49","-230.47","Abastecimento_5","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4477","565","2019-11-01 16:32:11","-650.00","Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","4476","565","2019-11-01 16:31:57","-650.00","Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","4439","565","2019-11-04 20:26:01","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","4440","565","2019-11-30 20:22:00","-6000.00","Assessoria Imprensa","Roda Viva LTDA","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","4441","565","2019-11-01 19:24:20","-10.00","Tarifa Cartão Debito","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","4383","495","2019-10-16 15:35:35","-240.04","Abastecimento_03","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4384","495","2019-10-22 15:36:58","-276.64","Abastecimento_04","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4386","495","2019-10-30 15:38:56","-239.45","Abastecimento_06","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4385","495","2019-10-25 15:37:53","-280.00","Abastecimento_05","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4381","495","2019-10-01 15:33:21","-279.44","Abastecimento_01","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4382","495","2019-10-09 15:34:34","-255.75","Abastecimento_02","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","4429","495","2019-10-31 16:01:28","-6000.00","Assessoria Imprensa","RODA VIVA LTDA EPP","24","Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais","VIII",""
"43","4425","495","2019-10-02 16:30:55","-650.00","TGMC_01","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","4431","495","2019-10-01 18:03:15","-10.00","Tarifa Cartão Debito","BANCO ITAU","28","Tarifas bancárias da conta corrente","XI",""
"43","4426","495","2019-10-02 16:31:16","-650.00","TGMC_02","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","4422","495","2019-10-02 17:38:25","-6500.00","Locação Carro","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","1785","424","2019-09-17 19:50:38","-40639.96","Devolução de saldo acumulado no 1° semestre de 2019","Assembleia Legislativa do Estado do Rio de Janeiro","26","Devolução de saldo","4",""
"43","3301","424","2019-09-03 18:46:00","-260.00","Abastecimento Carro","AUTO POSTO MAQUINE LTDA","23","","",""
"43","3298","424","2019-09-01 16:29:57","-650.00","Garagem Menezes Cortes 01","Terminal Garagem Menezes Côrtes S.A","22","","",""
"43","3304","424","2019-09-16 18:53:33","-286.61","Abastecimento Carro","AUTO POSTO MAQUINE LTDA","23","","",""
"43","3302","424","2019-09-09 18:50:29","-243.38","Abastecimento Carro","AUTO POSTO MAQUINE LTDA","23","","",""
"43","3306","424","2019-09-23 18:56:14","-264.30","Abastecimento Carro","AUTO POSTO MAQUINE LTDA","23","","",""
"43","3288","424","2019-09-02 20:16:59","-6500.00","Locação Carro Setembro","HORIZONTE LOCADORA DE VEÍCULOS","21","","",""
"43","3296","424","2019-09-01 16:30:11","-650.00","Garagem Menezes Cortes 02","Terminal Garagem Menezes Côrtes S.A","22","","",""
"43","3582","424","2019-09-27 17:08:07","-10.00","Tarifa cartão de débito","BANCO ITAU","28","","",""
"43","3583","424","2019-09-18 17:14:08","-2783.70","Passagem Aérea","DECOLAR. COM LTDA","4","","",""
"43","5104","424","2019-09-30 15:55:45","-6000.00","Assessoria Imprensa","Roda Viva LTDA","24","","",""
"43","1973","317","2019-08-01 16:29:03","-650.00","Garagem Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","1971","317","2019-08-05 15:56:14","-6500.00","Locação Carro Agosto","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","1974","317","2019-08-01 16:28:35","-650.00","Garagem Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","2134","317","2019-08-27 20:44:31","-239.17","Combustível Carro","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","2131","317","2019-08-14 20:36:53","-195.03","Combustível Carro","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","2132","317","2019-08-16 20:39:21","-140.02","Combustível Carro","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","2130","317","2019-08-12 20:31:56","-230.44","Combustível Carro","AUTO POSTO MAQUINE LTDA","23","Combustíveis e lubrificantes","VII",""
"43","2133","317","2019-08-19 20:42:20","-226.75","Combustível Carro","HORIZONTE LOCADORA DE VEÍCULOS","23","Combustíveis e lubrificantes","VII",""
"43","724","248","2019-07-05 20:06:08","-6500.00","Locação Carro Julho","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","787","248","2019-07-09 16:27:47","-953.00","Garagem Menezes Cortes","Terminal Garagem Menezes Côrtes S.A","22","Serviços de táxi, STIP, transportes públicos, pedágio e estacionamento","VI.b","VI"
"43","549","179","2019-06-05 21:05:13","-6500.00","Locação de Veiculo","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"43","547","111","2019-05-24 20:54:53","-6500.00","Locação de Veículo","HORIZONTE LOCADORA DE VEÍCULOS","21","Locação ou fretamento de veículos automotores","VI.a","VI"
"29","9348","975","2020-05-10 14:39:25","-97.50","IPTU Gabinete Campos","PEFEITURA MUNICIPIO DE CAMPOS DOS GOYTACAZES","9","IPTU e seguro contra incêndio","III.c","III"
"29","10263","975","2020-05-19 17:50:25","-1051.98","Devolução (ajuste).","Assembleia Legislativa do Estado do Rio de Janeiro","26","Devolução de saldo","4",""
"29","9352","975","2020-05-20 14:55:31","-68889.93","Devolução de saldo do valor acumulado 1° Semestre de 2020","BANCO ITAU","26","","",""
"29","9346","975","2020-05-04 14:33:23","-10.00","Tarifa Cartão","BANCO ITAU","28","","",""
"29","9350","975","2020-05-10 14:43:53","-1335.49","Aluguel Gabinete Campos","HVA PATRIMONIAL LTDA","7","","",""
"29","9351","975","2020-05-15 14:46:52","-183.08","Internet Gab Campos","VER TV COMUNICACOES LTDA","14","","",""
"29","9349","975","2020-05-10 14:41:31","-469.16","Condominio Gabinete Campos","EDIFICIO CONNECT WORK STATION","8","","",""
"29","9347","975","2020-05-06 14:35:52","-190.01","Combustivel","POSTO DO RUSSO LTDA","23","","",""
